schema_changed,missing_cols_count,null_rate,duplicate_rate,contract_violation_count,upstream_failed,cpu_usage,memory_mb,runtime_ratio,error_rate,throughput_change,latency_change,root_cause
0,0,0.003,0.002,0,0,49.82,285.53,0.91,0.0,-0.0162,0.0223,unknown
0,0,0.0004,0.0052,0,0,26.41,194.0,4.21,1.0,-0.4121,2.606,timeout
0,0,0.0018,0.0012,0,1,31.01,232.71,0.15,1.0,-0.0259,0.0297,dependency_failure
0,0,0.0031,0.0001,0,0,48.35,232.06,3.45,1.0,-0.4599,2.1668,timeout
0,0,0.0,0.0,0,0,46.98,304.73,1.09,1.0,0.0812,0.0827,unknown
1,3,0.0042,0.0,3,0,49.49,285.39,1.03,1.0,-0.0357,-0.0437,schema_change
0,0,0.0,0.0,0,0,96.22,3128.56,0.86,1.0,0.0155,1.7742,resource_constraint
0,0,0.0017,0.0,0,0,45.71,241.32,3.02,1.0,-0.6377,3.3586,timeout
0,0,0.0015,0.0,0,0,91.5,3489.56,1.04,1.0,-0.0095,2.8745,resource_constraint
0,0,0.0027,0.0002,0,1,54.06,335.9,0.25,1.0,0.0093,0.0684,dependency_failure
0,0,0.0027,0.0028,0,0,45.41,143.15,3.82,1.0,-0.6505,3.6917,timeout
1,1,0.0012,0.0028,2,0,35.29,324.6,1.08,1.0,0.0552,0.0066,schema_change
0,0,0.0,0.0034,0,1,21.37,274.37,0.18,1.0,-0.0262,0.0322,dependency_failure
0,0,0.0009,0.0044,0,0,96.86,2605.9,0.98,1.0,0.0884,3.3859,resource_constraint
0,0,0.0,0.0,0,0,41.2,254.54,2.1,1.0,-0.7965,4.61,timeout
0,0,0.0,0.0,0,0,46.52,211.26,3.56,1.0,-0.6425,3.9306,timeout
1,2,0.0036,0.0034,3,0,29.74,208.12,1.05,1.0,0.0593,0.0359,schema_change
0,0,0.0,0.0,0,0,38.09,248.71,2.1,1.0,-0.737,4.2872,timeout
0,0,0.0014,0.0018,0,0,96.44,3021.76,1.09,1.0,0.0462,3.6288,resource_constraint
0,0,0.0009,0.0,0,0,90.44,3256.54,1.11,1.0,-0.0563,3.3926,resource_constraint
0,0,0.0012,0.0008,0,1,36.14,234.49,0.24,1.0,-0.0202,-0.0449,dependency_failure
0,0,0.0,0.0022,0,0,49.66,251.61,0.95,0.0,0.0081,-0.0071,unknown
0,0,0.0021,0.0051,0,1,45.82,193.12,0.17,1.0,-0.0396,-0.0275,dependency_failure
0,0,0.0008,0.0006,0,0,77.12,254.63,0.89,1.0,0.0476,0.0295,unknown
0,0,0.0049,0.0,0,0,92.91,3491.96,1.01,1.0,0.0929,3.1639,resource_constraint
0,0,0.1975,0.2129,14,0,29.27,294.01,1.0,0.94,0.0004,0.0864,data_quality
0,0,0.0024,0.0,0,0,85.54,2938.66,0.87,1.0,0.0213,3.3156,resource_constraint
0,0,0.0044,0.0,0,0,38.17,225.5,2.86,1.0,-0.4086,3.9802,timeout
0,0,0.0012,0.003,0,0,98.54,3455.14,1.12,1.0,0.0437,3.2204,resource_constraint
0,0,0.0051,0.0039,0,0,61.71,282.83,0.91,1.0,0.0118,0.0919,unknown
0,0,0.0063,0.0035,0,0,28.52,156.97,4.11,1.0,-0.7771,4.933,timeout
0,0,0.0008,0.0011,0,1,45.69,335.68,0.15,1.0,-0.0289,-0.0051,dependency_failure
